,drug,OPAL Price,OPAL Amount,OPAL Unit,OPAL Standardized Cost,OPAL Standardized Unit
0,Hydrocortisone,0.048749999999999995,,,,
1,NS,1267.5983333333334,18.0,mg,70422.12962962962,g
2,Artificial Tears,0.09666666666666666,,,,
3,asp,1.5582222222222224,,,,
4,Asp,1.5582222222222224,,,,
5,Clonazepam,5.492,0.125,mg,43936.0,g
6,D5W,23.057,32.0,mcg/ml,720.5312499999999,g/l
7,5% Dextrose,1.48,,,,
8,Epinephrine,49.24,1.0,mg/ml,49.24,g/l
9,Epoetin Alfa,,,,,
10,HYDROmorphone (Dilaudid),,,,,
11,Hydromorphone,0.0441,2.0,mg,22.05,g
12,Ibuprofen Suspension,,,,,
13,Insulin,30.294,,,,
14,Insulin Human Regular,,,,,
15,Loperamide,0.023583333333333335,,,,
16,Lorazepam,0.0444,1.0,mg,44.4,g
17,Neostigmine,5.729,0.5,mg/ml,11.458,g/l
18,0.9% Sodium Chloride,6.79,,,,
19,Nitroglycerin Oint. 2%,,,,,
20,Nystatin Cream,,,,,
21,PredniSONE,0.945,2.5,mg,378.0,g
22,Abciximab,,,,,
23,Collagenase Ointment,,,,,
24,Syringe,843.82,10.0,mg,84382.0,g
25,TB Syringe,,,,,
26,Warfarin,0.09050000000000001,1.0,mg,90.50000000000001,g
27,Albumin 25% (12.5g / 50mL),,,,,
28,Mupirocin Cream 2%,,,,,
29,Bupivacaine 0.50%,,,,,
30,Bupivacaine 0.5%,,,,,
31,Calcium Gluconate,2.7129166666666666,1.0,g,2.7129166666666666,g
32,Citalopram,0.0402,40.0,mg,1.005,g
33,Clopidogrel Bisulfate,57.428,300.0,mg,191.42666666666668,g
34,CycloSPORINE (Sandimmune),,,,,
35,Desmopressin Acetate,28.342000000000002,4.0,mcg/ml,7085.5,g/l
36,Dexamethasone,0.4388,2.0,mg,219.4,g
37,DiphenhydrAMINE,0.030299999999999997,50.0,mg,0.6059999999999999,g
38,Dorzolamide 2% Ophth. Soln.,,,,,
39,Doxepin HCl,0.15130000000000002,10.0,mg,15.13,g
40,Droperidol,,,,,
41,NS Epidural Bag ,,,,,
42,Etomidate,2.804,2.0,mg/ml,1.402,g/l
43,Fentanyl Citrate,1.1523999999999999,50.0,mcg/ml,23.047999999999995,g/l
44,Furosemide,0.08833333333333333,20.0,mg,4.416666666666667,g
45,Haloperidol,0.22,10.0,mg,22.0,g
46,Hydrocortisone Na Succ.,,,,,
47,Heparin CRRT,,,,,
48,Heparin Flush (1000 units/mL),,,,,
49,Heparin,1.0024,,,,
50,Heparin (Hemodialysis),,,,,
51,Heparin Dwell (1000 Units/mL),,,,,
52,Heparin Sodium,1.0024,,,,
53,Heparin Flush (5000 Units/mL),,,,,
54,HYDROmorphone,0.0441,2.0,mg,22.05,g
55,Ipratropium Bromide MDI,,,,,
56,Ipratropium Bromide,,,,,
57,Potassium Chloride,0.23120000000000002,1500.0,mg,0.15413333333333334,g
58,Levothyroxine Sodium,,,,,
59,Lidocaine 5% Patch,1.5143333333333333,,,,
60,LR,16.3453125,32.0,mg,510.79101562499994,g
61,Magnesium Sulfate,,,,,
62,Methadone HCl,1.693,10.0,mg,169.3,g
63,Metoprolol,0.1379,25.0,mg,5.515999999999999,g
64,MetronidAZOLE Topical 1 % Gel,,,,,
65,Midazolam,0.9730000000000001,1.0,mg/ml,0.9730000000000001,g/l
66,Midazolam HCl,0.9730000000000001,1.0,mg/ml,0.9730000000000001,g/l
67,Morphine Sulfate (Oral Soln.),,,,,
68,Morphine Sulfate,,,,,
69,Methotrexate Sodium,,,,,
70,Naloxone,20.055,4.0,mg,5013.75,g
71,Ondansetron,3.9483333333333333,4.0,mg,987.0833333333333,g
72,Oxycodone SR (OxyconTIN),,,,,
73,Oxymetazoline,0.028333333333333332,,,,
74,Oxymetazoline HCl,0.028333333333333332,,,,
75,Paricalcitol,0.8623999999999999,2.0,mcg/ml,431.2,g/l
76,Phenobarbital,,,,,
77,Prednisone,0.945,2.5,mg,378.0,g
78,Pyridostigmine Bromide,,,,,
79,Piperacillin-Tazobactam Na,,,,,
