,drug,OPAL Price,OPAL Amount,OPAL Unit,OPAL Standardized Cost,OPAL Standardized Unit
0,Heparin,1.0024,,,,
1,Peg-Intron,,,,,
2,Somatropin,803.73,8.8,mg,91332.95454545454,g
3,5% Dextrose,1.48,,,,
4,Hydrocortisone,0.048749999999999995,,,,
5,0.9% Sodium Chloride,6.79,,,,
6,NEO*IV*Parenteral Nutrition,,,,,
7,Solution,0.0145,,,,
8,Acyclovir Ointment 5%,,,,,
9,Artificial Tears,0.09666666666666666,,,,
10,Atgam,2332.326,,,,
11,Bisacodyl,0.06527777777777778,10.0,mg,6.527777777777778,g
12,D5W,23.057,32.0,mcg/ml,720.5312499999999,g/l
13,Dexamethasone,0.4388,2.0,mg,219.4,g
14,Epinephrine,49.24,1.0,mg/ml,49.24,g/l
15,EpiPen,85.0,0.3,mg,283333.3333333334,g
16,EPINEPHrine,49.24,1.0,mg/ml,49.24,g/l
17,Epoetin Alfa,,,,,
18,Heparin Flush (10 units/ml),,,,,
19,HYDROmorphone (Dilaudid),,,,,
20,Ibuprofen Suspension,,,,,
21,Insulin,30.294,,,,
22,Lorazepam,0.0444,1.0,mg,44.4,g
23,Medium Chain Triglycerides,,,,,
24,NEO*PO*MCT Oil,,,,,
25,MCT Oil,41.638333333333335,,,,
26,NEO*PO*Mct Oil,,,,,
27,Midodrine,0.5236999999999999,2.5,mg,209.47999999999996,g
28,Midodrine HCl,0.5236999999999999,2.5,mg,209.47999999999996,g
29,Neostigmine,5.729,0.5,mg/ml,11.458,g/l
30,NEO*IV*Fat Emulsion,,,,,
31,NEO*IV*Morphine Sulfate,,,,,
32,NEO*IV*Oxacillin,,,,,
33,NS,1267.5983333333334,18.0,mg,70422.12962962962,g
34,Nystatin Cream,,,,,
35,OxycoDONE (Immediate Release) ,,,,,
36,PHENObarbital,,,,,
37,PredniSONE,0.945,2.5,mg,378.0,g
38,Collagenase Ointment,,,,,
39,Syringe,843.82,10.0,mg,84382.0,g
40,Syringe (IV Room),,,,,
41,TB Syringe,,,,,
42,Warfarin,0.09050000000000001,1.0,mg,90.50000000000001,g
43,Acetylcysteine (IV),,,,,
44,Adenosine,4.127000000000001,3.0,mg/ml,1.3756666666666668,g/l
45,Albumin 25% (12.5g / 50mL),,,,,
46,Albumin 25% (12.5gm),,,,,
47,Albumin 25% (12.5 g),,,,,
48,Albuterol 0.083% Neb Soln,,,,,
49,Alprazolam,10.545,1.0,mg,10545.0,g
50,Amphotericin B,12.06,50.0,mg,241.2,g
51,Tucks Hemorrhoidal Oint 1%,,,,,
52,Hydrocortisone (Rectal) 2.5% Cream,,,,,
53,Aripiprazole,6.205666666666667,2.0,mg,3102.8333333333335,g
54,Aztreonam,28.139999999999997,1.0,g,28.139999999999997,g
55,Mupirocin Cream 2%,,,,,
56,Sulfameth/Trimethoprim DS,,,,,
57,Beractant,,,,,
58,Bupivacaine 0.5%,,,,,
59,NEO*PO*Caffeine Citrate,,,,,
60,Calcium Gluconate,2.7129166666666666,1.0,g,2.7129166666666666,g
61,Critic-Aid Skin Paste,,,,,
62,CycloSPORINE (Sandimmune),,,,,
63,Cyclophosphamide,56.21,200.0,mg/ml,0.28105,g/l
64,Cyclopentolate-Phenylephrine,,,,,
65,Cytarabine,13.91,2.0,g,6.955,g
66,Desmopressin Acetate,28.342000000000002,4.0,mcg/ml,7085.5,g/l
67,Neo*Desitin Creamy,,,,,
68,Diltiazem,0.0495,30.0,mg,1.6500000000000001,g
69,Dextromethorphan-Guaifenesin (Sugar Free),,,,,
70,Doxercalciferol,12.0604,1.0,mcg,12060400.0,g
71,Droperidol,,,,,
72,NS Epidural Bag ,,,,,
73,Etomidate,2.804,2.0,mg/ml,1.402,g/l
74,Fentanyl Citrate,1.1523999999999999,50.0,mcg/ml,23.047999999999995,g/l
75,NEO*IV*Fentanyl,,,,,
76,Iso-Osmotic Dextrose,,,,,
77,Gamunex,6.388,1.0,g,6.388,g
78,Glycerin (Ped),,,,,
79,Haloperidol,0.22,10.0,mg,22.0,g
80,Hydrocortisone Na Succ.,,,,,
81,Heparin Dwell (1000 Units/mL),,,,,
82,Heparin Flush (1000 units/mL),,,,,
83,Heparin CRRT,,,,,
84,Heparin (Hemodialysis),,,,,
85,Heparin Flush (5000 Units/mL),,,,,
86,Heparin Sodium,1.0024,,,,
87,NEO*IV*Hydrocortisone (1mg/mL),,,,,
88,Hydromorphone,0.0441,2.0,mg,22.05,g
89,Indomethacin Sodium,,,,,
90,Insulin Human Regular,,,,,
91,Ipratropium Bromide MDI,,,,,
92,Potassium Chloride,0.23120000000000002,1500.0,mg,0.15413333333333334,g
93,Norepinephrine,23.057,32.0,mcg/ml,720.5312499999999,g/l
94,Lidocaine 1%,,,,,
95,Imodium A-D,,,,,
96,Loperamide HCl,2.1783333333333332,1.0,mg,2178.333333333333,g
97,Magnesium Sulfate,,,,,
98,Methadone,1.693,10.0,mg,169.3,g
99,Metoprolol,0.1379,25.0,mg,5.515999999999999,g
100,Metoprolol Tartrate,0.9949999999999999,5.0,mg/ml,0.19899999999999998,g/l
101,Midazolam HCl,0.9730000000000001,1.0,mg/ml,0.9730000000000001,g/l
102,Midazolam,0.9730000000000001,1.0,mg/ml,0.9730000000000001,g/l
103,Morphine Sulfate IR,,,,,
104,Morphine Sulfate,,,,,
105,Methotrexate Sodium,,,,,
106,Methotrexate Sodium P.F.,,,,,
107,Sodium Chloride,1.3566666666666667,,,,
108,Naloxone HCl,20.055,4.0,mg,5013.75,g
109,NEO*PO*Chlorothiazide,,,,,
110,NEO*IV*Dexamethasone,,,,,
111,NEO*PO*Ferrous Sulfate Elixir,,,,,
112,NEO*PO*Ferrous Sulfate Elixer,,,,,
113,POTassium Chloride,0.23120000000000002,1500.0,mg,0.15413333333333334,g
114,NEO*PO*Ranitidine,,,,,
115,Neomycin-Polymyxin-Gramicidin,,,,,
116,Syringe (Neonatal),,,,,
117,Sodium Bicarbonate 4.2% (2.4mEq),,,,,
118,Nifedipine,1.5658,20.0,mg,78.29,g
119,Ondansetron,3.9483333333333333,4.0,mg,987.0833333333333,g
120,Oxymetazoline HCl,0.028333333333333332,,,,
121,Oxymetazoline,0.028333333333333332,,,,
122,PHENObarbital Elixir,,,,,
123,Prednisone,0.945,2.5,mg,378.0,g
124,Sodium Chloride 23.4%,18.418,,,,
125,Sterile Water,84.53999999999999,2500.0,mg,33.815999999999995,g
126,Terbinafine 1% Cream,,,,,
127,traZODONE,0.1091,150.0,mg,0.7273333333333334,g
128,Vancomycin HCl,0.4177666666666667,50.0,mg/ml,0.008355333333333333,g/l
129,Acetylcysteine 20%,8.843333333333334,,,,
130,Acyclovir,10.488,,,,
131,Albuterol Inhaler,,,,,
132,Albuterol,0.4422,2.0,mg,221.1,g
133,Albuterol MDI,,,,,
134,Alteplase,,,,,
135,Ambisome,3.037,50.0,mg,60.739999999999995,g
136,Amikacin,14.472,250.0,mg/ml,0.057887999999999995,g/l
137,Ampicillin Sodium,,,,,
138,Acetaminophen,4.264583333333333,10.0,mg/ml,0.42645833333333333,g/l
139,Bacitracin Ointment,,,,,
140,Sulfameth/Trimethoprim,,,,,
141,Sulfamethoxazole-Trimethoprim,,,,,
142,Sulfameth/Trimethoprim Suspension,,,,,
143,*NF* Beclomethasone Dipropionate Inhalation,,,,,
144,Bottle,28.004666666666665,100.0,mg,280.0466666666666,g
145,Bumetanide,2.409,0.25,mg/ml,9.636,g/l
146,Caspofungin,287.881,50.0,mg,5757.619999999999,g
147,Capsaicin 0.025%,0.039,,,,
148,Cisatracurium Besylate,7.465999999999999,2.0,mg/ml,3.7329999999999997,g/l
149,CISplatin,0.1386,1.0,mg/ml,0.1386,g/l
150,Prochlorperazine,5.5280000000000005,5.0,mg/ml,1.1056000000000001,g/l
151,Dorzolamide 2%/Timolol 0.5% Ophth.,,,,,
152,Cosyntropin,,,,,
153,Dakins 1/2 Strength,,,,,
154,Dakins 1/4 Strength,,,,,
155,Defibrotide (IND),,,,,
156,Desitin,,,,,
157,Dextrose 50%,,,,,
158,Opium Deodorized Tinc.,,,,,
159,Lidocaine-Prilocaine,,,,,
160,Enoxaparin Sodium,28.14,300.0,mg,93.80000000000001,g
161,Esmolol,104.099,10.0,mg/ml,10.4099,g/l
162,Flucytosine,7.7377,250.0,mg,30.9508,g
163,Fluticasone Propionate NASAL,,,,,
164,Fluticasone Propionate Nasal,,,,,
165,Foscarnet Sodium,,,,,
166,Furosemide,0.08833333333333333,20.0,mg,4.416666666666667,g
167,Furosemide (Elixir),,,,,
168,NEO*IV*Gentamicin,,,,,
169,Gentamicin Sulfate,,,,,
170,Heparin (Preserv. Free),,,,,
171,HYDROmorphone P.F.,,,,,
172,Hydromorphone P.F.,,,,,
173,NEO*IV*Hydrocortisone (10mg/mL),,,,,
174,HYDROmorphone,0.0441,2.0,mg,22.05,g
175,HydrALAzine,0.845,10.0,mg,84.5,g
176,Ibuprofen,0.02165217391304348,100.0,mg,0.2165217391304348,g
177,NEO*IV*Insulin (Dilute),,,,,
178,Bag,575.695,0.3,mg/ml,1918.9833333333336,g/l
179,Potassium Acetate,2.764,,,,
180,SW,0.024291666666666666,,,,
181,Potassium Phosphate,,,,,
182,Lactulose,0.04135021097046414,10.0,g,0.0041350210970464134,g
183,Latanoprost 0.005% Ophth. Soln.,,,,,
184,Levobunolol 0.5%,,,,,
185,Aluminum-Magnesium Hydrox.-Simethicone,,,,,
186,Aluminum-Magnesium Hydroxide,,,,,
187,Dexamethasone Ophthalmic Soln 0.1%,,,,,
188,Meperidine,0.14346,50.0,mg,2.8691999999999998,g
189,Mesna,0.318,100.0,mg/ml,0.00318,g/l
190,Methylnaltrexone,,,,,
191,MethylPREDNISolone Sodium Succ,,,,,
192,Multivitamin Liquid,,,,,
193,Sodium Acetate,75.175,,,,
194,Sodium Bicarbonate,0.01028,650.0,mg,0.015815384615384613,g
195,sodium bicar,0.00864,5.0,g,0.001728,g
196,NEO*PO*Sodium Chloride,,,,,
197,NEO*PO*SODium Chloride,,,,,
198,Sodium Phosphate,0.007894736842105263,19.0,g,0.00041551246537396125,g
199,NEO*IV*Cefotaxime,,,,,
200,NEO*IV*Ceftazidime,,,,,
201,NEO*Aquaphor,,,,,
202,NEO*PO*Dexamethasone,,,,,
203,Meropenem,6.281000000000001,1.0,g,6.281000000000001,g
204,NEO*PO*Morphine,,,,,
205,NEO*PO*Vitamin E Drops,,,,,
206,OLANZapine,0.37,10.0,mg,37.0,g
207,Neo*PO*Omeprazole,,,,,
208,Oxycodone,0.027739999999999997,5.0,mg,5.547999999999999,g
209,OxycoDONE Liquid,,,,,
210,NEO*IM*Palivizumab,,,,,
211,Papain-Urea Ointment,,,,,
212,Papain 2.5 % Solution,,,,,
213,Phenylephrine HCl,3.3890000000000002,0.1,mg/ml,33.89,g/l
214,PHENYLEPHrine,0.045000000000000005,500.0,mg,0.09000000000000001,g
215,Phenylephrine,0.045000000000000005,500.0,mg,0.09000000000000001,g
216,Phytonadione,29.84,10.0,mg/ml,2.984,g/l
217,Bacitracin-Polymyxin Ointment,,,,,
218,Prednisolone Acetate 1% Ophth. Susp.,,,,,
219,Pyrazinamide,3.5753,500.0,mg,7.1506,g
220,Artificial Tears Preserv. Free,,,,,
221,Ritonavir (Oral Solution),,,,,
222,Salmeterol Xinafoate Diskus (50 mcg),,,,,
223,Silver Sulfadiazine 1% Cream,0.21400000000000002,,,,
224,Succinylcholine,5.1255999999999995,20.0,mg/ml,0.25627999999999995,g/l
225,Syringe (Sterile Water),,,,,
226,Timolol Maleate 0.5%,16.716,,,,
